Time,data
1652390087.176649,s20000.0
1652390087.2636433,s20000.0
1652390087.36107,s20000.0
1652390087.4599679,s20000.0
1652390087.549796,s20000.0
1652390087.704769,s20000.0
1652390087.747362,s20000.0
1652390087.844688,s20000.0
1652390087.9323092,s20000.0
1652390088.030979,s20000.0
1652390088.1195595,s20000.0
1652390088.2167733,s20000.0
1652390088.3172972,s20000.0
1652390088.4245503,s20000.0
1652390088.511229,s20000.0
1652390088.6108546,s20000.0
1652390088.6988177,s20000.0
1652390088.7988467,s20000.0
1652390088.8882742,s20000.0
1652390088.9846117,s20000.0
1652390089.095056,s20000.0
1652390089.183572,s20000.0
1652390089.2816556,s20000.0
1652390089.3681276,s20000.0
1652390089.4568727,s20000.0
1652390089.5658152,s20000.0
1652390089.6664112,s20000.0
1652390089.752879,s20000.0
1652390089.85242,s20000.0
1652390089.9407022,s20000.0
1652390090.0380337,s20000.0
1652390090.1305408,s20000.0
1652390090.2258914,s20000.0
1652390090.3362823,s20000.0
1652390090.424451,s20000.0
1652390090.5107596,s20000.0
1652390090.6116905,s20000.0
1652390090.700489,s20000.0
1652390090.799832,s20000.0
1652390090.980629,s20000.0
1652390091.0278647,s20000.0
1652390091.0949543,s20000.0
1652390091.1866198,s20000.0
1652390091.2820783,s20000.0
1652390091.3711634,s20000.0
1652390091.468399,s20000.0
1652390091.5684364,s20000.0
1652390091.6644764,s20000.0
1652390091.7631521,s20000.0
1652390091.8535867,s20000.0
1652390091.9510896,s20000.0
1652390092.038171,s20000.0
1652390092.1372607,s20000.0
1652390092.3117998,s20000.0
1652390092.361996,s20000.0
1652390092.4347231,s20000.0
1652390092.5242188,s20000.0
1652390092.6225295,s20000.0
1652390092.7088687,s20000.0
1652390092.8081768,s20000.0
1652390092.9164796,s20000.0
1652390093.004657,s20000.0
1652390093.1042309,s20000.0
1652390093.1921356,s20000.0
1652390093.2921467,s20000.0
1652390093.3782158,s20000.0
1652390093.4764993,s20000.0
1652390093.6439772,s20000.0
1652390093.706292,s20000.0
1652390093.7736332,s20000.0
1652390093.8611307,s20000.0
1652390093.959845,s20000.0
1652390094.0473683,s20000.0
1652390094.1462185,s20000.0
1652390094.234978,s20000.0
1652390094.3429844,s20000.0
1652390094.4438272,s20000.0
1652390094.5309863,s20000.0
1652390094.629088,s20000.0
1652390094.7156649,s20000.0
1652390094.8148916,s20000.0
1652390094.9141257,s20000.0
1652390095.0011482,s20000.0
1652390095.099805,s20000.0
1652390095.2125854,s20000.0
1652390095.3005395,s20000.0
1652390095.388487,s20000.0
1652390095.4862425,s20000.0
1652390095.5751283,s20000.0
1652390095.6753268,s20000.0
1652390095.7615705,s20000.0
1652390095.868805,s20000.0
1652390095.968604,s20000.0
1652390096.0666227,s20000.0
1652390096.1543047,s20000.0
1652390096.2529247,s20000.0
1652390096.3432124,s20000.0
1652390096.4410467,s20000.0
1652390096.5308998,s20000.0
1652390096.638674,s20000.0
1652390096.7261932,s20000.0
1652390096.824904,s20000.0
1652390096.9142816,s20000.0
1652390097.0116334,s20000.0
1652390097.099593,s20000.0
1652390097.2108371,s20000.0
1652390097.3087537,s20000.0
1652390097.39893,s20000.0
